鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
西區,房地(土地+建物)+車位,台中市西區精誠路180號,24.26,住,,,1011112,土地1建物1車位1,,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0800708,140.82999999999998,0,0,1,有,有,無,60000,426,升降機械,0.0,0,,RPWNMLNLJIHFFAB57CC
北區,房地(土地+建物),台中市北區健行路490號,91.0,住,,,1011122,土地1建物1車位0,一層,5,店面(店鋪),住商用,鋼筋混凝土造,0760529,113.1,0,0,0,無,無,無,27000,239,,0.0,0,,RPVSMLNLJIHFFBB08CC
大甲區,房地(土地+建物),台中市大甲區經國路296號,102.0,住,,,1011215,土地2建物1車位0,全,3,透天厝,見其他登記事項,加強磚造,0770725,214.0,0,0,0,無,無,無,18000,84,,0.0,0,,RPQNMLOLJIHFFBL18CC
沙鹿區,房地(土地+建物)+車位,台中市沙鹿區自強路355巷25弄26號,67.41,住,,,1011105,土地2建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,1001116,153.28,4,2,3,有,無,有,13000,85,一樓平面,0.0,0,,RPXNMLQLJIHFFCL66DC
烏日區,房地(土地+建物),台中市烏日區中山路一段337號,72.59,住,,,1011123,土地1建物1車位0,全,4,透天厝,住商用,鋼筋混凝土造,0681225,257.88,4,1,3,有,無,無,25000,97,,0.0,0,,RPVNMLQLJIHFFGL86DC
霧峰區,房地(土地+建物),台中市霧峰區中投西路2段90號,888.24,,特定農業區,農牧用地,1011106,土地1建物1車位0,一層,1,工廠,見其他登記事項,見其他登記事項,0921222,627.15,0,0,0,無,無,無,58000,,,0.0,0,,RPRNMLQLJIHFFGL98CC
太平區,房地(土地+建物),台中市太平區儀東路108號,65.0,住,,,1011201,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0810830,144.99,4,3,3,有,無,無,11000,76,,0.0,0,,RPWNMLQLJIHFFHL96CC
北屯區,房地(土地+建物)+車位,台中市北屯區北屯路527巷13號,50.0,住,,,1011119,土地1建物1車位1,全,5,透天厝,見其他登記事項,鋼筋混凝土造,0960730,173.76,5,3,3,有,有,無,15000,86,一樓平面,31.72,0,,RPSPMLQLJIHFFBB77CC
北屯區,建物,台中市北屯區景賢南二路23號,13.74,住,,,1011120,土地0建物1車位0,一層,12,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0961231,100.80000000000001,1,1,1,有,有,無,15000,149,,0.0,0,1+2層,RPTPMLQLJIHFFBB87CC
北區,房地(土地+建物),台中市北區綏遠路一段26號7樓之2,20.73,住,,,1011201,土地2建物1車位0,七層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880713,120.56,3,2,2,有,有,無,13000,108,,0.0,0,,RPVQMLQLJIHFFBB18CC
北屯區,房地(土地+建物),台中市北屯區遼寧路一段51巷50號1樓,6.46,住,,,1011111,土地1建物1車位0,一層,9,店面(店鋪),商業用,鋼筋混凝土造,0830330,36.88,0,0,0,無,有,有,6500,176,,0.0,0,,RPURMLQLJIHFFBB18CC
