鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
桃園區,房地(土地+建物),大華八街２８之４號,22.6,住,,,1090703,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0730601,98.75,5,0,5,有,無,5880000,59544,,0.0,0,陽台外推；,RPPNMLLJQHPFFAH38DA,90.85,0.0,7.9,無,
桃園區,房地(土地+建物)+車位,中埔一街１２９號十樓,24.08,商,,,1090716,土地2建物1車位1,十層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070306,218.89,4,2,3,有,有,20000000,98462,坡道平面,31.0,1500000,,RPWPMLOJQHPFFAH96DA,110.13,6.05,13.13,有,
桃園區,房地(土地+建物)+車位,幸福路１７３號九樓,18.83,住,,,1090717,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090227,132.87,2,2,1,有,有,11400000,89261,坡道平面,25.32,1800000,,RPRNMLOJQHPFFAH88DA,62.88,4.56,4.34,有,
桃園區,房地(土地+建物)+車位,幸福路１９５號六樓,18.41,住,,,1090726,土地1建物1車位1,六層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090227,129.92000000000002,2,2,1,有,有,9890000,76864,坡道平面,25.32,1850000,,RPWOMLLMPHPFFAH76DA,62.54,2.56,4.73,有,
桃園區,房地(土地+建物),慈祥街９號五樓,21.07,住,,,1090722,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0820913,51.809999999999995,2,1,2,有,無,5000000,96506,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPXOMLKMPHPFFAH76DA,46.68,0.0,4.24,無,
桃園區,房地(土地+建物)+車位,文中一路２７０號十二樓,22.43,住,,,1090703,土地1建物1車位1,十二層,十九層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090407,173.07999999999998,2,2,2,有,有,17770000,112580,坡道平面,31.67,1850000,,RPWNMLQLPHPFFAH07DA,83.33,0.0,11.43,有,
龍潭區,房地(土地+建物),自由街４４巷３５號,65.1,,鄉村區,乙種建築用地,1090724,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0701216,100.0,3,2,3,有,無,5600000,56000,,0.0,0,其他增建；,RPRPMLSLPHPFFCH17DA,90.0,5.0,5.0,無,
龍潭區,房地(土地+建物)+車位,中豐路４６１巷１０６弄７６之６號,33.01,,鄉村區,乙種建築用地,1090706,土地1建物1車位1,一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060817,151.84,3,2,2,有,有,9200000,65536,坡道平面,29.77,1200000,,RPQNMLQJQHPFFCH56DA,75.75,0.0,6.89,有,
楊梅區,房地(土地+建物)+車位,金山街２７５巷３２號四樓,17.42,住,,,1090709,土地3建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1050901,129.76999999999998,2,2,1,有,有,5300000,40841,坡道平面,36.38,0,含仲介費20000元；,RPWNMLPJQHPFFDH17DA,58.86,0.0,6.63,有,
新屋區,土地,東勢段甲頭厝小段202-1地號,456.25,,特定農業區,農牧用地,1090706,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,5250000,11507,,0.0,0,未登記建物；,RPOOMLPJQHPFFDH09DA,0.0,0.0,0.0,無,
楊梅區,土地,梅獅段407地號,638.31,,,,1090724,土地8建物0車位0,,,其他,,,,0.0,0,0,0,有,無,4353340,6820,,0.0,0,包含公共設施保留地用地；,RPUPMLQJQHPFFDH27DA,0.0,0.0,0.0,無,
楊梅區,房地(土地+建物),青山五街２１號７樓之９,8.89,住,,,1090718,土地1建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840324,46.6,1,1,1,有,有,1150000,24678,,0.0,0,,RPQNMLSJQHPFFDH86DA,25.93,0.0,3.28,有,
楊梅區,房地(土地+建物),瑞溪路二段２１７號,125.0,住,,,1090711,土地1建物1車位0,全,五層,透天厝,住商用,鋼筋混凝土造,0951017,217.96,5,3,4,有,無,18080000,82951,,0.0,0,,RPWNMLKKQHPFFDH76DA,203.72,6.38,7.86,無,
楊梅區,房地(土地+建物)+車位,泰圳路６４０巷４３弄８６號,53.34,,特定農業區,甲種建築用地,1090702,土地1建物1車位1,一層，二層，三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0850704,147.12,4,2,3,有,有,4200000,28548,坡道平面,0.0,0,未登記建物；,RPXNMLKKQHPFFDH86DA,101.92,4.69,7.13,無,
楊梅區,房地(土地+建物),民族路五段２０１巷８４弄７號,97.75,住,,,1090704,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,1090221,256.04,5,2,4,有,有,16800000,65615,,0.0,0,,RPRQMLQJQHPFFDH07DA,252.72,0.0,3.32,有,
楊梅區,房地(土地+建物),民族路五段２０１巷８４弄６號,97.75,住,,,1090705,土地1建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,1090221,256.04,5,2,4,有,有,16820000,65693,,0.0,0,,RPSQMLQJQHPFFDH17DA,252.72,0.0,3.32,有,
楊梅區,房地(土地+建物),蘋果路１０８巷１弄６７號,119.71,工,,,1090726,土地2建物1車位0,全,四層,透天厝,其他,鋼筋混凝土造,0960702,184.76,4,2,3,有,有,6300000,34098,,0.0,0,,RPXNMLRJQHPFFDH47DA,162.91,2.1,19.75,無,
楊梅區,房地(土地+建物),青山二街３８２號１１樓之９,15.81,住,,,1090713,土地1建物2車位0,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840324,87.6,2,1,1,有,有,2100000,23973,,0.0,0,,RPOOMLRJQHPFFDH66DA,48.96,0.0,6.23,有,
楊梅區,土地,甡甡段50地號,801.27,農,,,1090728,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3205080,4000,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；,RPPOMLRJQHPFFDH76DA,0.0,0.0,0.0,無,
大園區,土地,大牛稠段大牛稠小段710地號,1050.0,,特定農業區,農牧用地,1090715,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,23184000,22080,,0.0,0,,RPUNMLKMPHPFFEH76DA,0.0,0.0,0.0,無,
大園區,土地,竹圍段崁下小段225-1地號,3194.0,農,,,1090715,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,58270000,18244,,0.0,0,,RPVNMLKMPHPFFEH86DA,0.0,0.0,0.0,無,
大園區,房地(土地+建物)+車位,青峰路二段２０９號十樓,61.93,住,,,1090729,土地1建物1車位2,十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,1011106,327.20000000000005,4,2,3,有,有,19500000,59598,坡道平面,0.0,0,,RPSWMLTLPHPFFEH28DA,165.39,5.15,18.23,有,
