鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
鶯歌區,土地,德昌段81地號,59.06,工,,,1091001,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2340000,39621,,0.0,0,親友、員工、共有人或其他特殊關係間之交易；未登記建物；,RPSNMLTLIIPFFIF07EA,0.0,0.0,0.0,無,
五股區,房地(土地+建物)+車位,成泰路四段８８號五樓,28.6,工,,,1091008,土地1建物1車位2,五層,十三層,住宅大樓(11層含以上有電梯),工業用,鋼筋混凝土造,1060704,302.75,0,0,0,無,有,20120000,72579,坡道平面,72.38,3400000,,RPTVMLTKIIPFFBF07DA,152.81,0.0,0.0,有,
新莊區,土地,興化段936地號,357.26,都市：其他:道路用地,,,1091015,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,35746318,100057,,0.0,0,包含公共設施保留地用地；,RPXWMLSLIIPFFBF57DA,0.0,0.0,0.0,無,
汐止區,房地(土地+建物),康寧街８８５巷３７號４樓,38.36,,山坡地保育區,丙種建築用地,1091012,土地1建物1車位0,四層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0881014,88.42,4,2,2,有,有,5150000,58245,,0.0,0,陽台外推；,RPRNMLTLIIPFFDF98DA,59.0,0.0,8.29,無,
土城區,土地,永福段22地號,227.78,住,,,1091015,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,42029000,184516,,0.0,0,,RPURMLSLIIPFFAF66DA,0.0,0.0,0.0,無,
樹林區,土地,東昇段378-1地號,68.27,都市：其他:道路用地,,,1091012,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,7024983,102900,,0.0,0,協議價購；,RPPNMLSKIIPFFIF09DA,0.0,0.0,0.0,無,
三重區,房地(土地+建物),新北大道一段１２號三樓,24.75,住,,,1091015,土地1建物1車位0,三層,二十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1031217,288.56,4,2,3,有,有,57800000,200305,,0.0,0,,RPQNMLTLIIPFFGF66EA,165.83,7.54,24.07,有,
鶯歌區,土地,昌福段877地號,4.83,住,,,1091019,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,438090,90702,,0.0,0,,RPVPMLSLIIPFFIF47EA,0.0,0.0,0.0,無,
板橋區,土地,江子翠段第一崁小段12-22地號,30.25,都市：其他:道路用地,,,1091008,土地2建物0車位0,,,其他,,,,0.0,0,0,0,有,無,2247575,74300,,0.0,0,,RPROMLSLIIPFFAF78EA,0.0,0.0,0.0,無,
永和區,土地,長堤段669地號,161.76,都市：其他:道路用地,,,1091015,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3410000,21081,,0.0,0,,RPTQMLSLIIPFFHF27EA,0.0,0.0,0.0,無,
淡水區,房地(土地+建物)+車位,中山北路三段３１巷９６號五樓,16.71,住,,,1091010,土地1建物1車位1,五層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1010521,110.54,2,2,1,有,有,8100000,75961,坡道平面,21.01,1300000,陽台外推；,RPVNMLTLIIPFFEF96EA,47.66,3.43,11.47,有,
