鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
蘆洲區,土地,保新段110地號,727.27,農,,,1020706,土地1建物0車位0,,,倉庫,,,,0.0,0,0,1,有,無,無,90000,,,0.0,0,,RPVNMLKKPHIFFGF68CC
新店區,建物,新北市新店區中興路三段230號1樓,0.0,住,,,1020709,土地0建物1車位0,一層,20,店面(店鋪),見其他登記事項,鋼筋混凝土造,1000701,167.81,0,0,0,無,無,無,50000,298,,0.0,0,,RPROMLKKPHIFFCF97CC
中和區,車位,新北市中和區中山路二段228號7樓,0.0,其他,,,1020618,土地0建物0車位1,七層,19,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,0871120,47.74,0,0,0,無,有,無,4000,,坡道平面,47.76,4000,,RPTNMLKKPHIFFHF58CC
中和區,房地(土地+建物),新北市中和區立人街14巷1弄6之3號,27.35,住,,,1020616,土地1建物1車位0,四層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0610912,61.1,3,2,1,有,無,有,11000,180,,0.0,0,,RPTOMLKKPHIFFHF68CC
中和區,建物,新北市中和區景平路274號1.2樓,51.31,住,,,1020606,土地0建物1車位0,全,4,透天厝,住家用,加強磚造,0581019,180.18,4,2,3,有,無,無,50000,278,,0.0,0,,RPRPMLKKPHIFFHF58CC
三峽區,房地(土地+建物)+車位,新北市三峽區國慶路110號8樓,33.5,住,,,1020630,土地1建物1車位1,八層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950524,258.67,4,2,2,有,有,有,25000,97,坡道平面,60.1,0,,RPUPMLKKPHIFFIF98CC
永和區,房地(土地+建物),新北市永和區福和路171號1樓,96.0,商,,,1020623,土地1建物4車位0,一層,4,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0650607,313.16,2,3,2,有,無,無,115000,367,,0.0,0,1.租金含增建2.自105.8.1起調漲月租金為新台幣120000元整3.本次承租範圍為一至四層 ，一樓作店面使用,RPXNMLKKPHIFFHF09DC
樹林區,建物,新北市樹林區武林街12號5樓,0.0,工,,,1020708,土地0建物1車位0,五層,5,工廠,見其他登記事項,鋼筋混凝土造,0870909,765.27,0,0,0,無,無,無,110000,,,0.0,0,,RPQPMLLKPHIFFIF78DC
汐止區,車位,新北市汐止區大同路3段615號地下1樓等公共設施,6.7,住,,,1020704,土地0建物0車位1,,,住宅大樓(11層含以上有電梯),,,,21.34,0,0,0,有,有,無,2000,,坡道機械,21.34,0,,RPOPMLLKPHIFFDF18EC
汐止區,房地(土地+建物),新北市汐止區大同路3段619號17樓之6,6.7,住,,,1020614,土地1建物1車位0,十七層,32,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0880203,73.99,2,1,1,有,有,有,9000,122,,0.0,0,,RPPPMLLKPHIFFDF28EC
