鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
八德區,建物,桃園縣八德市廣福路２０巷１５弄２６號２樓,0.0,商,,,1020711,土地0建物1車位0,二層,5,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0750529,103.89,3,2,2,有,無,無,9000,87,,0.0,0,,RPXNMLOLPHIFFFH86CC
蘆竹區,房地(土地+建物)+車位,桃園縣蘆竹鄉南昌路79號四樓,19.19,住,,,1020722,土地1建物1車位1,四層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970714,177.12,4,2,2,有,有,有,27000,152,坡道平面,28.98,0,27000元含車位，含社區管理費3614元,RPTNMLOLPHIFFEH09DC
八德區,房地(土地+建物),桃園縣八德市重慶街213巷24弄26號1樓,16.72,住,,,1020724,土地1建物1車位0,一層,1,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0820901,77.22,1,1,1,有,有,無,14000,181,,0.0,0,,RPQOMLPLPHIFFFH09DC
八德區,房地(土地+建物)+車位,桃園縣八德市義勇街130號8樓,19.98,住,,,1020720,土地1建物1車位1,八層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0830809,142.25,3,2,2,有,有,無,11000,77,坡道平面,0.0,0,,RPQNMLPLPHIFFFH88CC
八德區,房地(土地+建物),桃園縣八德市義勇街50號,97.72,商,,,1020710,土地1建物1車位0,全,5,透天厝,見使用執照,鋼筋混凝土造,0950929,142.26,1,2,2,有,有,無,30000,211,,0.0,0,1-2樓,RPSNMLPLPHIFFFH09CC
桃園區,房地(土地+建物),桃園縣桃園市中正路１１０５號１１樓,13.17,其他,,,1020707,土地1建物1車位0,十一層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930727,120.07,3,2,2,有,有,有,19000,158,,0.0,0,,RPXUMLPLPHIFFAH27DC
中壢區,房地(土地+建物),桃園縣中壢市新中北路151號之2,1602.0,住,,,1020701,土地1建物1車位0,一層,7,華廈(10層含以下有電梯),商業用,鋼筋混凝土造,0860507,41.77,0,0,1,無,無,無,7000,168,,0.0,0,,RPUQMLPLPHIFFBH66DC
中壢區,建物,桃園縣中壢市中壢市文化路25號,0.0,商,,,801102,土地0建物1車位0,全,2,透天厝,住家用,加強磚造,0580101,243.0,0,0,0,無,無,無,30000,123,,0.0,0,,RPXQMLPLPHIFFBH86CC
桃園區,建物,桃園縣桃園市永安189號13樓之4,0.0,住,,,1020715,土地0建物1車位0,十三層,17,辦公商業大樓,見其他登記事項,鋼筋混凝土造,0810129,88.54,0,0,0,無,有,無,13000,147,,0.0,0,,RPTSMLQLPHIFFAH66CC
桃園區,建物,桃園縣桃園市中正路60號8樓之20,0.0,商,,,1020726,土地0建物1車位0,八層,10,辦公商業大樓,住家用,鋼筋混凝土造,0740215,86.35,0,0,0,無,有,無,9000,104,,0.0,0,,RPUSMLQLPHIFFAH76CC
龜山區,房地(土地+建物),桃園縣龜山鄉大湖一街236號1-5樓,65.1,住,,,1020720,土地1建物1車位0,全,5,透天厝,見其他登記事項,鋼筋混凝土造,1000418,291.66,5,2,5,有,無,有,28000,96,,0.0,0,,RPUUMLQLPHIFFAH96CC
八德區,房地(土地+建物),桃園縣八德市文昌街111巷46號,82.87,住,特定農業區,甲種建築用地,1020726,土地2建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0840821,236.67,4,3,3,有,無,無,17000,72,,0.0,0,,RPVPMLQLPHIFFFH07CC
蘆竹區,建物,桃園縣蘆竹鄉大竹北路699號,0.0,其他,特定農業區,甲種建築用地,1020718,土地0建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0871029,179.66,4,2,3,有,無,無,18000,100,,0.0,0,,RPOQMLQLPHIFFEH98CC
蘆竹區,建物,桃園縣蘆竹鄉中正路１９１號１３樓,0.0,住,,,1020716,土地0建物1車位1,十三層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930325,136.57999999999998,3,2,2,有,有,有,18000,132,坡道平面,20.23,0,,RPWQMLTLPHIFFEH47CC
中壢區,建物,桃園縣中壢市和平路25號1、2樓,106.0,商,,,1020801,土地0建物1車位0,二層,4,店面(店鋪),住商用,加強磚造,0640719,160.55,0,2,2,有,無,無,130000,810,,0.0,0,,RPVNMLTLPHIFFBH86DC
平鎮區,房地(土地+建物),桃園縣平鎮市龍泉一街29巷5號,63.65,其他,鄉村區,乙種建築用地,1020726,土地1建物1車位0,全,2,透天厝,住家用,加強磚造,0700212,86.0,3,2,2,有,無,無,12000,140,,0.0,0,,RPXNMLTLPHIFFGH47CC
桃園區,房地(土地+建物)+車位,桃園縣桃園市大興西路二段139巷149號9樓,10.06,住,,,1020728,土地1建物1車位1,九層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0970424,50.66,1,1,1,有,有,有,15000,296,坡道平面,31.88,0,含網路.管理費.,RPUPMLTLPHIFFAH76CC
中壢區,建物,桃園縣中壢市內定二十街１５８巷４８號,0.0,工,,,1020708,土地0建物1車位0,全,2,透天厝,工業用,鋼筋混凝土造,0751126,248.98,1,2,2,有,無,無,25000,100,,0.0,0,,RPPSMLTLPHIFFBH66CC
八德區,建物,桃園縣八德市介壽路二段685巷66弄66號三樓,21.52,,鄉村區,乙種建築用地,1020508,土地0建物1車位0,三層,4,公寓(5樓含以下無電梯),住家用,加強磚造,0701213,84.0,3,2,1,有,無,無,8000,95,,0.0,0,,RPPNMLTLPHIFFFH76EC
平鎮區,房地(土地+建物),桃園縣平鎮市中豐路山頂段406巷76號四樓,27.64,農,一般農業區,甲種建築用地,1020720,土地1建物1車位0,四層,5,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0840306,65.34,3,2,1,有,無,有,7500,115,,0.0,0,,RPSPMLKMPHIFFGH09DC
桃園區,建物,桃園縣桃園市民光東路180號9樓之1,0.0,,,,1020705,土地0建物1車位0,九層,9,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0920918,115.04,3,2,2,有,有,有,17000,148,,0.0,0,,RPVOMLKMPHIFFAH58CC
桃園區,房地(土地+建物),桃園縣桃園市大業路一段105號3樓之2,30.26,住,,,1020701,土地1建物1車位0,三層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1001107,102.93,3,2,2,有,無,有,18000,175,,0.0,0,,RPPPMLKMPHIFFAH08CC
龜山區,房地(土地+建物),桃園縣龜山鄉東萬壽路42號7樓,18.78,其他,山坡地保育區,丙種建築用地,1020718,土地1建物1車位0,七層,7,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0850430,103.67,3,2,2,有,無,無,12000,116,,0.0,0,,RPROMLLMPHIFFAH28CC
龜山區,房地(土地+建物),桃園縣龜山鄉明德路132號,98.0,住,,,1020701,土地1建物1車位0,全,3,透天厝,見其他登記事項,鋼筋混凝土造,0730224,125.28,7,5,3,有,無,無,20000,160,,0.0,0,,RPURMLLMPHIFFAH88CC
桃園區,建物,桃園縣桃園市大興西路二段69巷116號9樓,0.0,住,,,1020712,土地0建物1車位0,九層,15,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1000309,152.6,3,2,1,有,有,有,35000,229,,0.0,0,含管理費。,RPQTMLLMPHIFFAH68CC
蘆竹區,房地(土地+建物),桃園縣蘆竹鄉富國路二段755巷162號,215.24,住,,,1020805,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土造,0941215,173.84,3,2,2,有,無,有,29000,167,,0.0,0,,RPQRMLLMPHIFFEH98DC
