鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
花蓮市,房地(土地+建物)+車位,花蓮縣花蓮巿德安六街64號16.17樓,30.26,住,,,1020527,土地1建物1車位1,十六層,17,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840302,217.76,4,2,2,有,有,有,17000,78,坡道平面,67.79,0,,RPQOMLSLNHIFFAU27CC
花蓮市,房地(土地+建物),花蓮縣花蓮巿北昌四街22號,83.0,住,,,1020524,土地1建物1車位0,全,2,透天厝,住商用,鋼筋混凝土加強磚造,0680417,115.41,4,1,2,有,無,無,8000,69,,0.0,0,,RPXOMLTLNHIFFAU08CC
花蓮市,房地(土地+建物),花蓮縣花蓮巿北昌三街18巷5號,108.0,住,,,1020508,土地1建物1車位0,全,2,透天厝,住家用,鋼筋混凝土加強磚造,0680924,122.94,4,2,2,有,無,有,10000,81,,0.0,0,整棟出租,RPROMLNJOHIFFAU76CC
花蓮市,房地(土地+建物),花蓮縣花蓮巿中華路352號,76.0,商,,,1020620,土地1建物1車位0,三層,3,店面(店鋪),住商用,鋼筋混凝土造,0921128,136.12,2,3,3,有,無,有,25000,184,,0.0,0,,RPTNMLPJOHIFFAU17DC
花蓮市,房地(土地+建物),花蓮縣花蓮巿中美路148號4樓,3969.0,商,,,1020515,土地1建物2車位0,四層,5,辦公商業大樓,商業用,鋼筋混凝土造,0990728,1290.0,0,0,0,無,無,無,136307,106,,0.0,0,商辦第四層樓分租,RPROMLQJOHIFFAU17DC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉南濱路一段161號,2977.91,農,一般農業區,農牧用地,1020524,土地1建物1車位0,見其他登記事項,1,農舍,農舍,見其他登記事項,0960823,303.43,0,0,0,無,無,無,35000,,,0.0,0,,RPRPMLQJOHIFFAU17CC
花蓮市,房地(土地+建物),花蓮縣花蓮巿中美路148號五樓之一,94.0,商,,,1020601,土地1建物1車位0,五層,5,辦公商業大樓,商業用,鋼筋混凝土造,0990728,654.2,0,0,0,無,無,無,69328,106,,0.0,0,商辦第五層樓分租,RPVOMLRJOHIFFAU67DC
花蓮市,房地(土地+建物),花蓮縣花蓮巿富吉路75號,126.0,住,,,1020509,土地1建物1車位0,全,3,透天厝,住商用,鋼筋混凝土造,0770722,249.6,6,1,3,有,無,無,18000,72,,0.0,0,全棟出租,RPXOMLRJOHIFFAU87DC
花蓮市,房地(土地+建物),花蓮縣吉安鄉中正路97號,162.0,住,,,1020523,土地1建物1車位0,見其他登記事項,4,店面(店鋪),住商用,鋼筋混凝土造,0680209,232.1,0,0,0,無,無,無,60000,259,,0.0,0,,RPOPMLKKOHIFFAU98CC
吉安鄉,房地(土地+建物),花蓮縣吉安鄉慶豐11街165號,129.0,住,,,1020601,土地1建物1車位0,全,3,透天厝,住家用,鋼筋混凝土造,0810506,155.81,5,2,3,有,無,有,12000,77,,0.0,0,全棟出租,RPXOMLNKOHIFFAU47CC
花蓮市,房地(土地+建物),花蓮縣花蓮巿中山路412巷17號5F5,15.75,商,,,1020515,土地1建物1車位0,五層,6,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0811217,95.69,2,1,2,有,有,有,7000,73,,0.0,0,,RPUNMLOKOHIFFAU27DC
花蓮市,房地(土地+建物),花蓮縣花蓮巿中華路276-2號,54.0,商,,,1020523,土地2建物1車位0,一層,2,店面(店鋪),住商用,鋼筋混凝土造,0930303,89.03,0,0,1,有,無,無,15000,168,,0.0,0,租一樓店面,RPVNMLOKOHIFFAU37DC
