鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
中西區,房地(土地+建物),台南市中西區文和街２６號,135.87,住,,,1020430,土地1建物1車位0,一層,1,倉庫,商業用,見其他登記事項,0620505,95.23,2,3,1,有,無,無,10000,,,0.0,0,,RPPOMLTJNHIFFAD97CC
中西區,房地(土地+建物),台南市中西區西門路一段725號,67.0,住,,,1020507,土地1建物1車位0,全,4,透天厝,商業用,鋼筋混凝土構造,0900117,69.41,0,0,0,無,無,無,62000,893,,0.0,0,,RPTOMLTJNHIFFAD38CC
中西區,房地(土地+建物),台南市中西區西華南街36巷10之3號,0.0,住,,,1020509,土地1建物1車位0,一層,3,公寓(5樓含以下無電梯),住家用,鋼筋混凝土構造,0840313,36.07,1,1,1,有,無,有,6000,166,,0.0,0,租賃合約書無填寫土地租賃,RPVNMLKKNHIFFAD67CC
東區,房地(土地+建物),台南市東區大同路2段95號5樓之1,0.0,住,,,1020430,土地1建物1車位0,五層,16,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0831216,56.68,2,1,1,有,無,有,10000,176,,0.0,0,,RPSNMLKKNHIFFCD57CC
東區,房地(土地+建物),台南市東區文化路31號2樓之3,0.0,住,,,1020508,土地1建物1車位0,二層,14,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土構造,0990203,51.9,2,1,1,有,無,有,15000,289,,0.0,0,,RPUNMLKKNHIFFCD77CC
永康區,房地(土地+建物),台南市永康區文化路238號,19.7,住,,,1020508,土地1建物1車位0,一層,8,華廈(10層含以下有電梯),住商用,鋼筋混凝土造,0881203,111.87,2,2,2,有,無,有,10000,89,,0.0,0,,RPSNMLLKNHIFFHR96CC
仁德區,房地(土地+建物),台南市仁德區中正路二段739號,135.03,住,,,1020601,土地1建物1車位0,全,4,透天厝,住家用,鋼筋混凝土造,0781209,258.01,6,2,4,有,無,無,3500,14,,0.0,0,,RPVNMLLKNHIFFFR07CC
北區,房地(土地+建物),台南市北區北安路一段210號,596.05,商,,,1020501,土地7建物1車位0,四層,4,店面(店鋪),見其他登記事項,見其他登記事項,0960323,554.33,0,0,0,無,無,無,155000,280,,0.0,0,,RPQNMLMKNHIFFAD37CC
東區,建物,台南市東區裕文路115號,0.0,住,,,1020414,土地0建物1車位0,全,5,透天厝,住家用,鋼筋混凝土構造,0860531,223.5,5,2,4,有,無,有,25000,112,,0.0,0,1.租賃契約書無填寫土地租賃面積。2.由所有權人提供出租資訊。3.出租樓層為1~5樓，整棟出租,RPPNMLOKNHIFFCD67CC
南區,建物,台南市南區健康路二段114號4樓,0.0,住,,,1020425,土地0建物1車位0,四層,6,辦公商業大樓,見其他登記事項,鋼筋混凝土構造,0800424,260.79,0,1,1,有,有,無,26400,101,,0.0,0,,RPQNMLOKNHIFFCD77CC
歸仁區,房地(土地+建物),台南市歸仁區大順街141號,76.0,住,,,1020513,土地1建物1車位0,全,4,透天厝,見其他登記事項,鋼筋混凝土造,0870121,203.41,0,0,2,有,無,無,20000,98,,0.0,0,,RPXNMLOKNHIFFFR57CC
東區,房地(土地+建物)+車位,台南市東區富農街一段131巷20號,25.55,住,,,1020505,土地2建物1車位1,三層,8,店面(店鋪),住商用,鋼筋混凝土構造,0860307,172.72,3,1,3,有,有,無,17000,98,升降平面,0.0,0,,RPROMLPKNHIFFCD18DC
仁德區,房地(土地+建物),台南市仁德區文山路231號,73.9,住,,,1020422,土地3建物1車位0,全,5,透天厝,住家用,鋼筋混凝土造,0910814,176.59,4,3,3,有,無,無,18000,102,,0.0,0,,RPPOMLQKNHIFFFR07CC
仁德區,房地(土地+建物),台南市仁德區德善路1號,422.06,住,,,1020503,土地1建物1車位0,見使用執照,3,店面(店鋪),住商用,鋼筋混凝土造,0810307,190.29,4,2,3,有,無,無,15000,79,,0.0,0,,RPQOMLQKNHIFFFR17CC
中西區,房地(土地+建物)+車位,台南市中西區民生路二段393號十三樓之5,17.81,商,,,1020502,土地3建物1車位1,十三層,25,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土構造,0890306,197.10000000000002,4,2,2,有,有,有,23000,117,坡道平面,29.08,0,,RPUOMLRKNHIFFAD38CC
