鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
烏日區,房地(土地+建物),臺中市烏日區溪南路一段６０５巷８３號,99.0,,鄉村區,乙種建築用地,1101202,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0680420,151.11,5,2,3,有,無,11300000,74780,,0.0,0,其他增建；,RPTQMLOJJHHGFIB18DA,151.11,0.0,0.0,無,
大里區,房地(土地+建物)+車位,臺中市大里區中湖路１５０巷１５號七樓,19.3,住,,,1101203,土地1建物1車位2,七層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0960607,166.07,4,2,2,有,有,10350000,60934,坡道平面,35.6,2400000,陽台外推；,RPUNMLNJKIGGFIB97DA,79.79,0.0,11.76,有,
梧棲區,房地(土地+建物),臺中市梧棲區信義街１０２巷２７號,95.0,住,,,1101217,土地1建物1車位0,全,四層,透天厝,住家用,鋼筋混凝土造,1100422,237.64,4,3,5,有,無,17880000,75240,,0.0,0,,RPQNMLPJJHHGFFB47EA,200.84,0.0,36.8,有,
潭子區,土地,東寶一段545地號,1.3,住,,,1101223,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,78650,60500,,0.0,0,包含公共設施保留地用地；,RPQOMLOJJHHGFHB67EA,0.0,0.0,0.0,無,
龍井區,房地(土地+建物),臺中市龍井區中央路一段１００號,129.0,住,,,1101206,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0750222,144.66,3,2,3,有,無,9000000,62215,,0.0,0,其他增建；,RPWNMLNJJHHGFKB28DA,144.66,0.0,0.0,無,
豐原區,房地(土地+建物)+車位,臺中市豐原區中山路２２０之５號六樓之３,16.35,,,,1101207,土地2建物1車位1,六層,十一層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960322,171.3,3,2,2,有,有,12500000,72971,坡道平面,0.0,0,賣方拆讓予買方新台幣伍拾萬元正。,RPXNMLSJKIGGFDB28DA,95.28,0.0,10.2,有,
新社區,土地,水底寮段上水底寮小段418-4地號,822.0,,山坡地保育區,農牧用地,1101208,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1050000,1277,,0.0,0,,RPRNMLSJKIGGFGB97DA,0.0,0.0,0.0,無,
沙鹿區,土地,中清段668地號,147.65,農,,,1101215,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,3126480,21175,,0.0,0,,RPOOMLNJJHHGFFB07DA,0.0,0.0,0.0,無,00976
西屯區,房地(土地+建物)+車位,臺中市西屯區福瑞街１１６號十二樓之１,16.58,住,,,1101210,土地2建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831021,145.91,5,1,2,有,有,6400000,43863,坡道平面,0.0,0,,RPUPMLOJJHHGFCB67EA,99.69,1.94,8.57,有,
北屯區,房地(土地+建物)+車位,臺中市北屯區文心路四段２２１號５樓,9.46,住,,,1101201,土地3建物1車位1,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831011,101.32000000000001,3,2,2,有,有,7800000,76984,坡道機械,0.0,0,,RPTNMLPJJHHGFBB27DA,58.39,0.0,11.4,有,00977
北區,房地(土地+建物),臺中市北區榮華街２１巷６之４號,19.61,住,,,1101224,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0680326,54.67,7,0,7,有,無,4050000,74081,,0.0,0,陽台外推；其他增建；,RPSRMLNJJHHGFBB37DA,54.67,0.0,0.0,無,00978
東勢區,房地(土地+建物),臺中市東勢區本街１巷３０號,114.62,住,,,1101201,土地1建物1車位0,全,一層,透天厝,其他,加強磚造,0600320,78.11,4,2,3,有,無,6350000,81296,,0.0,0,,RPVNMLPJJHHGFGB97DA,78.11,0.0,0.0,無,
北區,房地(土地+建物),臺中市北區博館路６５巷２９號,151.0,住,,,1101203,土地2建物1車位0,全,三層,透天厝,住商用,鋼筋混凝土造,0691111,286.38,4,2,3,有,無,20360000,71094,,0.0,0,,RPWQMLPJJHHGFBB97EA,286.38,0.0,0.0,無,
西屯區,房地(土地+建物)+車位,臺中市西屯區西屯路二段２４９之９巷８號十一樓之３,13.58,商,,,1101205,土地1建物1車位1,十一層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0840215,137.69,4,2,2,有,有,10550000,76627,坡道機械,0.0,0,,RPTPMLKMKIGGFCB47DA,88.22,0.0,8.18,有,
北區,房地(土地+建物),臺中市北區中清路一段２７９巷２之６號,18.69,商,,,1101201,土地10建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0691211,61.06,6,4,2,有,無,5380000,88110,,0.0,0,頂樓加蓋；,RPOUNLOKKIGGFBB67DA,61.06,0.0,0.0,無,00979
豐原區,房地(土地+建物)+車位,臺中市豐原區安康路４５號二樓之２,26.46,住,,,1101214,土地3建物1車位1,二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1060612,168.49,3,2,2,有,有,11800000,70034,坡道平面,23.32,0,,RPQNMLQKKIGGFDB47DA,86.28,0.0,10.79,有,00980
潭子區,房地(土地+建物),臺中市潭子區潭興路一段１７巷１３弄６６號,116.45,,山坡地保育區,丙種建築用地,1101204,土地3建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,1100129,161.88,5,3,3,有,無,14500000,89573,,0.0,0,預售屋、或土地及建物分件登記案件；,RPOOMLRKKIGGFHB87DA,151.95,0.0,9.93,無,
外埔區,房地(土地+建物),臺中市外埔區甲后路五段１２８巷６５弄１８號,88.03,,鄉村區,乙種建築用地,1101214,土地1建物1車位0,全,三層,透天厝,住家用,鋼筋混凝土造,0790510,130.88,5,2,2,有,無,6700000,51192,,0.0,0,辦理產權移轉所應支付之相關稅費由賣方負擔繳納；倘若相關稅費超出新台幣20萬元時，其超出部分應由買方負擔繳納。其他增建；,RPOOMLPJJHHGFEB17DA,130.88,0.0,0.0,無,
沙鹿區,土地,護安段236地號,139.98,住,,,1101216,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,6352500,45381,,0.0,0,,RPQNMLQJJHHGFFB47DA,0.0,0.0,0.0,無,
新社區,土地,水底寮段上水底寮小段417-1091地號,1002.0,,山坡地保育區,農牧用地,1101211,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,850000,848,,0.0,0,含仲介費；,RPPNMLMKKIGGFGB27DA,0.0,0.0,0.0,無,00968
東勢區,房地(土地+建物),臺中市東勢區泰昌二街３８號,65.47,住,,,1101210,土地2建物1車位0,全,一層,透天厝,住商用,加強磚造,0680406,29.06,3,2,2,有,無,4960000,170681,,0.0,0,,RPPOMLPJJHHGFGB47DA,29.06,0.0,0.0,無,00982
龍井區,土地,東園段594地號,4.35,,山坡地保育區,丙種建築用地,1101216,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,150000,34483,,0.0,0,,RPQNMLNJJHHGFKB67DA,0.0,0.0,0.0,無,
大里區,房地(土地+建物),臺中市大里區大里路４３２之７號,93.09,住,,,1101209,土地1建物1車位0,全,二層,透天厝,住商用,加強磚造,0680620,105.16,4,2,2,有,無,10400000,98897,,0.0,0,含仲介費；,RPPNMLNLKIGGFIB67DA,105.16,0.0,0.0,無,
北屯區,房地(土地+建物)+車位,臺中市北屯區僑孝街１６６號六樓,21.99,住,,,1101211,土地1建物1車位1,六層,七層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0821224,123.72999999999999,3,2,2,有,有,8450000,68294,坡道平面,0.0,0,,RPQOMLPJJHHGFBB07DA,81.65,0.0,10.59,有,
西屯區,土地,協仁段353-2地號,398.06,都市：其他:道路用地,,,1101206,土地4建物0車位0,,,其他,,,,0.0,0,0,0,有,無,14130953,35500,,0.0,0,包含公共設施保留地用地；協議價購；,RPUQMLMKKIGGFCB67DA,0.0,0.0,0.0,無,00983
