鄉鎮市區,交易標的,土地位置建物門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積平方公尺,車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,main building area,auxiliary building area,balcony area,elevator,transaction number
楠梓區,房地(土地+建物),高雄市楠梓區高楠公路１７０３號十四樓,11.27,住,,,1130624,土地2建物1車位0,十四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130229,78.91,2,2,2,有,有,9000000,114054,,0.0,0,,RPXNMLTJQHJGFEE96DA,43.84,0.0,7.01,有,
楠梓區,房地(土地+建物),高雄市楠梓區高楠公路１７０５號三樓,11.19,住,,,1130619,土地2建物1車位0,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130229,78.33,2,2,2,有,有,7550000,96387,,0.0,0,,RPQNMLKKQHJGFEE08DA,43.78,0.0,6.69,有,
楠梓區,房地(土地+建物),高雄市楠梓區高楠公路１７０５號六樓,11.19,住,,,1130620,土地2建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1130229,78.33,2,2,2,有,有,7900000,100855,,0.0,0,,RPRNMLKKQHJGFEE18DA,43.78,0.0,6.69,有,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區土庫二路１８８號十三樓之３,15.21,住,,,1130612,土地2建物1車位1,十三層,二十層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1030626,147.21,3,2,2,有,有,13300000,90347,坡道平面,20.16,0,含傢俱設備費；,RPSOMLNKQHJGFEE68DA,71.43,2.14,9.02,有,02083
楠梓區,房地(土地+建物)+車位,高雄市楠梓區大學五十六街１２７號十三樓之１,13.25,商,,,1130608,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1040407,134.26999999999998,2,1,1,有,有,10880000,81031,坡道平面,29.78,0,,RPVPMLNKQHJGFEE09DA,55.39,0.0,12.93,有,
左營區,房地(土地+建物),高雄市左營區東門路１３１巷１０號五樓之１,12.14,住,,,1130616,土地1建物1車位0,五層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0971105,99.02000000000001,2,2,1,有,有,12200000,123207,,0.0,0,此買賣案件另有3筆土地在鼓山區龍華段二小段585、585-7、581-8，與此案件並不可拆分。含裝潢費；含傢俱設備費；陽台外推；,RPRQMLPKQHJGFEE98DA,52.69,2.49,13.16,有,
左營區,房地(土地+建物)+車位,高雄市左營區崇德路３４８號十樓之２,13.73,商,,,1130630,土地1建物1車位1,十層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0831104,142.51,3,2,2,有,有,9800000,68767,其他,0.0,0,,RPRNMLQKQHJGFEE78DA,83.57,1.23,11.39,有,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區德民路７８８號十二樓之２,14.85,住,,,1130618,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1040119,133.19,3,2,1,有,有,12200000,91598,坡道平面,27.98,0,,RPSNMLQKQHJGFEE88DA,62.93,0.0,7.93,有,02084
左營區,房地(土地+建物),高雄市左營區大中二路５３３號五樓,10.33,住,,,1130610,土地1建物1車位0,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1111216,91.06,2,2,1,有,有,10750000,118054,,0.0,0,含傢俱設備費；,RPVNMLQKQHJGFEE56DA,47.5,6.52,4.66,有,02085
左營區,房地(土地+建物)+車位,高雄市左營區啟文路１３１號十樓之５,24.0,住,,,1130627,土地1建物1車位1,十層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1110302,160.42000000000002,3,2,2,有,有,16220000,102060,坡道平面,22.07,2100000,,RPTOMLQKQHJGFEE09DA,68.63,4.89,14.0,有,
楠梓區,房地(土地+建物)+車位,高雄市楠梓區藍田路１１７０號十一樓,13.82,住,,,1130621,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土,1091103,115.58,2,2,1,有,有,11900000,102959,坡道平面,25.19,0,,RPQPMLTKQHJGFEE56DA,50.49,3.81,4.46,有,02086
岡山區,房地(土地+建物),高雄市岡山區育才路３８巷４弄１９號,96.67,住,,,1130624,土地2建物1車位0,全,二層,透天厝,住家用,鋼筋混凝土造,0771115,145.4,5,2,3,有,有,11080000,76204,,0.0,0,含傢俱設備費；,RPVNMLNJPHJGFFE78DA,109.01,30.28,6.11,無,
永安區,土地,保安段1206地號,2.89,,一般農業區,交通用地,1130628,土地1建物0車位0,,,其他,,,,0.0,0,0,0,無,無,8841,3059,,0.0,0,協議價購；,RPUNMLSJQHJGFFE66DA,0.0,0.0,0.0,無,
永安區,土地,保安段1063地號,192.56,,一般農業區,交通用地,1130628,土地12建物0車位0,,,其他,,,,0.0,0,0,0,無,無,654689,3400,,0.0,0,協議價購；,RPVNMLSJQHJGFFE76DA,0.0,0.0,0.0,無,02087
永安區,土地,保安段1063地號,19.26,,一般農業區,交通用地,1130628,土地12建物0車位0,,,其他,,,,0.0,0,0,0,無,無,65469,3399,,0.0,0,協議價購；,RPOOMLSJQHJGFFE78DA,0.0,0.0,0.0,無,02087
永安區,土地,保安段1063地號,19.26,,一般農業區,交通用地,1130628,土地12建物0車位0,,,其他,,,,0.0,0,0,0,無,無,62196,3229,,0.0,0,協議價購；,RPPOMLSJQHJGFFE88DA,0.0,0.0,0.0,無,02087
永安區,土地,保安段1063地號,19.26,,一般農業區,交通用地,1130628,土地12建物0車位0,,,其他,,,,0.0,0,0,0,無,無,62196,3229,,0.0,0,協議價購；,RPQOMLSJQHJGFFE98DA,0.0,0.0,0.0,無,02087
